Titre,Prix,Fabricant,Carrosserie,Energie,Puissance fiscale,Boite,Transmission,Kilometrage,Annee,Inserée le,Model
BMW Série 4 Coupé,86000,BMW,Coupé,Essence,10,Automatique,Traction,151000,07.2014,26.02.2024,Série 4 Coupé
KIA Rio 5p,67500,KIA,Citadine,Essence,5,Manuelle,Traction,27000,04.2022,26.02.2024,Rio 5p
Porsche Cayenne,78000,Porsche,SUV/4x4,Essence,30,Automatique,Traction,212000,09.2009,26.02.2024,Cayenne
Volkswagen T-roc,91500,Volkswagen,SUV/4x4,Essence,6,Manuelle,Traction,52000,10.2020,26.02.2024,T-roc
KIA Rio 5p,67000,KIA,Citadine,Essence,5,Manuelle,Traction,68000,12.2021,26.02.2024,Rio 5p
Volkswagen Golf 7,59000,Volkswagen,Citadine,Essence,6,Automatique,Traction,178000,04.2019,26.02.2024,Golf 7
Volkswagen Golf 7,52000,Volkswagen,Citadine,Essence,5,Manuelle,Traction,191000,04.2015,26.02.2024,Golf 7
Mercedes-Benz GLA 250e kit AMG,195000,Mercedes,SUV/4x4,Hybride essence,6,Automatique,Traction,46000,01.2021,23.02.2024,-Benz GLA 250e kit AMG
Nissan Navara toute option,55000,Nissan,SUV/4x4,Diesel,8,Manuelle,Propulsion,248000,07.2010,23.02.2024,Navara toute option
Porsche Cayenne e-hybrid,480000,Porsche,SUV/4x4,Hybride rechargeable essence,21,Automatique,Intégrale,19000,06.2022,23.02.2024,Cayenne e-hybrid
Mercedes-Benz GLA 250𝙚 Hybrid,195000,Mercedes,Autres,Hybride rechargeable essence,11,Automatique,Traction,13000,10.2021,23.02.2024,-Benz GLA 250𝙚 Hybrid
Mercedes-Benz Classe C coupé C180 Kit Amg,138000,Mercedes,Coupé,Essence,8,Automatique,Traction,122000,07.2016,23.02.2024,-Benz Classe C coupé C180 Kit Amg
Nissan Qashqai toute option,147000,Nissan,SUV/4x4,Hybride essence,6,Automatique,Traction,22000,05.2022,23.02.2024,Qashqai toute option
Nissan Juke N-DESIGN,95000,Nissan,SUV/4x4,Essence,6,Automatique,Traction,40000,01.2021,23.02.2024,Juke N-DESIGN
KIA Sportage,98500,KIA,SUV/4x4,Diesel,7,Automatique,Propulsion,118000,09.2019,23.02.2024,Sportage
BMW Série 3 cabriolet,78000,BMW,Coupé,Essence,9,Automatique,Automatique,111000,04.2013,23.02.2024,Série 3 cabriolet
Ssangyong Tivoli 4 cylindres,59000,Ssangyong,SUV/4x4,Essence,7,Automatique,Traction,38000,11.2015,23.02.2024,Tivoli 4 cylindres
Audi A4,23000,Audi,Berline,Diesel,7,Manuelle,Manuelle,600000,12.1999,23.02.2024,A4
Seat Ibiza FR,68000,Seat,Citadine,Essence,6,Manuelle,Traction,107000,07.2020,23.02.2024,Ibiza FR
Volkswagen Golf 7 Join Importée Tn240,83500,Volkswagen,Citadine,Essence,5,Manuelle,Traction,63000,05.2019,26.02.2024,Golf 7 Join Importée Tn240
Chevrolet Aveo,22500,Chevrolet,Berline,Essence,5,Manuelle,Traction,228000,02.2011,26.02.2024,Aveo
Mazda 2 Exclusive,43000,Mazda,Citadine,Essence,6,Automatique,Automatique,135000,12.2016,26.02.2024,2 Exclusive
KIA Sportage GT LINE 2L DIESEL,129900,KIA,SUV/4x4,Hybride diesel,11,Automatique,Traction,45000,12.2019,26.02.2024,Sportage GT LINE 2L DIESEL
KIA Sportage GT LINE 2L DIESEL,134500,KIA,SUV/4x4,Hybride diesel,11,Automatique,Traction,45000,10.2019,26.02.2024,Sportage GT LINE 2L DIESEL
KIA Sportage GT LINE 2L DIESEL,136000,KIA,SUV/4x4,Hybride diesel,11,Automatique,Traction,65000,08.2020,26.02.2024,Sportage GT LINE 2L DIESEL
KIA Picanto Gt line,47000,KIA,Citadine,Essence,5,Automatique,Propulsion,55000,06.2018,26.02.2024,Picanto Gt line
Alfa Romeo Mito,55000,Alfa Romeo,Coupé,Essence,5,Manuelle,Manuelle,42000,07.2019,26.02.2024,Mito
Ford Fiesta Titanium,33000,Ford,Compacte,Essence,5,Manuelle,Manuelle,212000,11.2014,26.02.2024,Fiesta Titanium
KIA Sportage,98000,KIA,SUV/4x4,Diesel,10,Automatique,Traction,162000,09.2016,26.02.2024,Sportage
Seat Leon,39000,Seat,Citadine,Essence,5,Manuelle,Traction,177000,04.2014,26.02.2024,Leon
Nissan Navara,49500,Nissan,Pick up,Diesel,10,Manuelle,Traction,257000,09.2013,26.02.2024,Navara
BMW Série 5,88500,BMW,Berline,Essence,10,Manuelle,Traction,183000,02.2015,26.02.2024,Série 5
Hyundai Grand i10,72500,Hyundai,Citadine,Essence,5,Automatique,Traction,25000,11.2022,26.02.2024,Grand i10
Audi Q7,60000,Audi,SUV/4x4,Diesel,16,Automatique,Traction,249000,06.2006,26.02.2024,Q7
Ford Fiesta,36900,Ford,Citadine,Essence,5,Manuelle,Traction,97000,05.2017,26.02.2024,Fiesta
Volkswagen Tiguan,145000,Volkswagen,SUV/4x4,Essence,9,Automatique,Traction,54000,06.2021,26.02.2024,Tiguan
Mahindra KUV 100,36900,Mahindra,SUV/4x4,Essence,5,Manuelle,Traction,53000,08.2021,26.02.2024,KUV 100
Ford Ranger,55000,Ford,Pick up,Diesel,7,Manuelle,Traction,248000,07.2014,26.02.2024,Ranger
Hyundai Tucson,168000,Hyundai,SUV/4x4,Hybride diesel,7,Automatique,Traction,28000,10.2021,26.02.2024,Tucson
Peugeot 208,45500,Peugeot,Citadine,Diesel,4,Manuelle,Traction,136000,10.2018,26.02.2024,208
Dacia Dokker Van,35000,Dacia,Utilitaire,Diesel,6,Manuelle,Traction,69000,12.2018,26.02.2024,Dokker Van
Suzuki Vitara,67000,Suzuki,SUV/4x4,Essence,6,Manuelle,Traction,53000,12.2018,26.02.2024,Vitara
Nissan Micra,33500,Nissan,Citadine,Essence,5,Manuelle,Traction,123000,08.2019,26.02.2024,Micra
Hyundai Tucson Hybride,168000,Hyundai,SUV/4x4,Diesel,7,Automatique,Traction,28000,10.2021,26.02.2024,Tucson Hybride
Audi A4,47500,Audi,Berline,Essence,7,Automatique,Traction,146000,11.2013,26.02.2024,A4
Peugeot Partner,63555,Peugeot,Utilitaire,Diesel,5,Manuelle,Traction,37000,03.2023,26.02.2024,Partner
Volkswagen Golf 8,109500,Volkswagen,Citadine,Essence,6,Manuelle,Traction,20000,02.2021,26.02.2024,Golf 8
Renault Kadjar,78000,Renault,SUV/4x4,Essence,7,Automatique,Traction,85000,02.2021,26.02.2024,Kadjar
Peugeot 208,30500,Peugeot,Citadine,Essence,5,Manuelle,Traction,97000,04.2016,26.02.2024,208
Mercedes-Benz ML,45000,Mercedes,SUV/4x4,Diesel,15,Automatique,Traction,266000,07.2006,26.02.2024,-Benz ML
KIA Sportage,85000,KIA,SUV/4x4,Essence,8,Automatique,Traction,101000,07.2018,26.02.2024,Sportage
Mercedes-Benz Classe A 250e AMG,168000,Mercedes,Compacte,Hybride rechargeable essence,6,Automatique,Traction,46000,02.2021,23.02.2024,-Benz Classe A 250e AMG
Land Rover Range Rover Sport P400e,340000,Land Rover,SUV/4x4,Hybride essence,17,Automatique,Automatique,80000,01.2020,23.02.2024,Range Rover Sport P400e
MG 6 toute option,83500,MG,Berline,Essence,9,Automatique,Traction,30000,01.2022,23.02.2024,6 toute option
Porsche Panamera toute option,168000,Porsche,Berline,Essence,20,Automatique,Propulsion,54000,01.2011,23.02.2024,Panamera toute option
Volkswagen Golf 7 CUP,57000,Volkswagen,Compacte,Diesel,5,Manuelle,Traction,233000,01.2015,23.02.2024,Golf 7 CUP
BMW Série 4 Gran Coupé KIT M,118000,BMW,Coupé,Essence,7,Automatique,Traction,84000,06.2017,23.02.2024,Série 4 Gran Coupé KIT M
Land Rover Discovery Sport toute option,153000,Land Rover,SUV/4x4,Diesel,16,Automatique,Propulsion,103000,08.2014,23.02.2024,Discovery Sport toute option
Audi Q3,103000,Audi,Autres,Essence,8,Automatique,Traction,66000,11.2017,23.02.2024,Q3
Mercedes-Benz CLA 180,148000,Mercedes,Autres,Essence,7,Automatique,Traction,70000,06.2019,23.02.2024,-Benz CLA 180
BMW Série 3 318i,79000,BMW,Autres,Essence,7,Automatique,Propulsion,130000,10.2016,23.02.2024,Série 3 318i
Mercedes-Benz Classe C 180,98000,Mercedes,Berline,Essence,8,Automatique,Traction,185000,09.2016,23.02.2024,-Benz Classe C 180
Mercedes-Benz Classe C 200 Kit AMG,248000,Mercedes,Berline,Hybride essence,12,Automatique,Traction,15000,06.2022,23.02.2024,-Benz Classe C 200 Kit AMG
Volkswagen Golf 6,38000,Volkswagen,Citadine,Essence,7,Automatique,Traction,158000,09.2011,26.02.2024,Golf 6
Mercedes-Benz Classe E,83500,Mercedes,Berline,Diesel,7,Automatique,Traction,225000,08.2013,26.02.2024,-Benz Classe E
Toyota Aygo,32900,Toyota,Citadine,Essence,4,Manuelle,Traction,90000,06.2017,26.02.2024,Aygo
Land Rover Range Rover Sport,340000,Land Rover,SUV/4x4,Essence,17,Automatique,Traction,82000,06.2019,26.02.2024,Range Rover Sport
Mazda BT-50,62000,Mazda,Pick up,Diesel,9,Manuelle,Traction,203000,12.2014,26.02.2024,BT-50
Haval H6,85000,Haval,SUV/4x4,Essence,9,Automatique,Traction,52000,09.2020,26.02.2024,H6
Foton Forland,64000,Foton,Autres,Diesel,10,Manuelle,Traction,35000,04.2016,26.02.2024,Forland
BMW Série 3 318i Luxury package,85000,BMW,Citadine,Essence,7,Automatique,Traction,170000,06.2017,26.02.2024,Série 3 318i Luxury package
Mercedes-Benz Classe C Pack AMG,205000,Mercedes,Berline,Hybride essence,9,Automatique,Traction,40000,08.2022,26.02.2024,-Benz Classe C Pack AMG
KIA Sportage GT-line Hybride,119000,KIA,SUV/4x4,Diesel,6,Automatique,Traction,120000,09.2021,26.02.2024,Sportage GT-line Hybride
KIA Sportage GT_LINE,119000,KIA,SUV/4x4,Hybride rechargeable diesel,6,Automatique,Traction,120000,09.2021,26.02.2024,Sportage GT_LINE
Volkswagen Polo 8 Ambition,50000,Volkswagen,Citadine,Essence,4,Manuelle,Traction,70000,09.2021,26.02.2024,Polo 8 Ambition
Mercedes-Benz Classe C coupé Kit Amg Pack night,179000,Mercedes,Coupé,Essence,9,Automatique,Traction,40000,09.2019,26.02.2024,-Benz Classe C coupé Kit Amg Pack night
Peugeot 2008 GT_LINE,92000,Peugeot,SUV/4x4,Essence,7,Manuelle,Manuelle,30000,07.2021,26.02.2024,2008 GT_LINE
Audi Q2,93000,Audi,SUV/4x4,Essence,8,Automatique,Traction,30000,10.2019,26.02.2024,Q2
Hyundai Grand i10,53000,Hyundai,Citadine,Essence,5,Manuelle,Traction,30000,08.2022,26.02.2024,Grand i10
Seat Leon FR,122800,Seat,Citadine,Essence,8,Automatique,Traction,70000,01.2022,26.02.2024,Leon FR
Hyundai Kona,79000,Hyundai,SUV/4x4,Hybride essence,6,Manuelle,Manuelle,30000,10.2021,26.02.2024,Kona
Volkswagen Golf 5 Tout option,31500,Volkswagen,Berline,Diesel,6,Manuelle,Manuelle,206000,11.2005,23.02.2024,Golf 5 Tout option
Tata Xenon X2 Simple Cabine Comme neuf,31000,TATA,Utilitaire,Diesel,7,Manuelle,Propulsion,64000,05.2017,23.02.2024,Tata Xenon X2 Simple Cabine Comme neuf
Peugeot 508,39200,Peugeot,Berline,Essence,7,Automatique,Traction,230000,01.2014,23.02.2024,508
MG ZS toute option,55000,MG,SUV/4x4,Essence,7,Manuelle,Traction,95000,06.2019,23.02.2024,ZS toute option
BMW X5 toute option KIT M,295000,BMW,SUV/4x4,Diesel,14,Automatique,Propulsion,104000,05.2020,23.02.2024,X5 toute option KIT M
Ford Puma Hybrid,95000,Ford,Autres,Hybride essence,6,Manuelle,Traction,10000,08.2020,23.02.2024,Puma Hybrid
Ford Puma toute option,118000,Ford,SUV/4x4,Hybride essence,8,Automatique,Traction,11000,06.2022,23.02.2024,Puma toute option
BMW Série 4 Gran Coupé luxury,112000,BMW,Coupé,Essence,7,Automatique,Traction,100000,05.2016,23.02.2024,Série 4 Gran Coupé luxury
Nissan Qashqai TEKNA PLUS,82000,Nissan,SUV/4x4,Essence,6,Automatique,Traction,63000,06.2018,23.02.2024,Qashqai TEKNA PLUS
Jeep Wrangler toute option,108000,Jeep,SUV/4x4,Essence,14,Automatique,Intégrale,189000,08.2009,23.02.2024,Wrangler toute option
Fiat 500X toute option,69000,Fiat,SUV/4x4,Essence,7,Automatique,Traction,87000,05.2018,23.02.2024,500X toute option
Volkswagen Golf 8 GTI,238000,Volkswagen,Autres,Essence,19,Automatique,Intégrale,31000,07.2021,23.02.2024,Golf 8 GTI
Haval Jolion,89500,Haval,SUV/4x4,Essence,9,Automatique,Traction,25000,07.2021,26.02.2024,Jolion
Honda City,57000,Honda,Berline,Essence,7,Automatique,Traction,53000,12.2020,26.02.2024,City
KIA Sportage,145000,KIA,SUV/4x4,Essence,8,Automatique,Traction,23000,09.2022,26.02.2024,Sportage
Mercedes-Benz GLA Pack AMG,113000,Mercedes,SUV/4x4,Essence,8,Automatique,Traction,74000,01.2016,26.02.2024,-Benz GLA Pack AMG
Seat Ateca xperience,112000,Seat,SUV/4x4,Essence,8,Automatique,Traction,60000,04.2022,26.02.2024,Ateca xperience
KIA Sportage,90000,KIA,SUV/4x4,Essence,8,Automatique,Traction,95000,10.2019,26.02.2024,Sportage
Nissan Qashqai,43000,Nissan,SUV/4x4,Essence,9,Automatique,Traction,148000,07.2011,26.02.2024,Qashqai
BMW Série 5 520i Facelift,89000,BMW,Berline,Essence,11,Automatique,Traction,220000,01.2016,26.02.2024,Série 5 520i Facelift
Volkswagen T-roc,85000,Volkswagen,SUV/4x4,Essence,6,Automatique,Traction,87000,01.2020,26.02.2024,T-roc
Seat Ibiza FR 1.6,67000,Seat,SUV/4x4,Essence,6,Manuelle,Traction,50000,08.2020,26.02.2024,Ibiza FR 1.6
Honda City,35000,Honda,Berline,Essence,7,Manuelle,Traction,146000,04.2017,26.02.2024,City
Audi A5 Sportback 2.0,43500,Audi,Berline,Essence,10,Automatique,Traction,200000,09.2010,26.02.2024,A5 Sportback 2.0
DFSK Glory 580,80000,DFSK,SUV/4x4,Essence,8,Manuelle,Traction,59000,07.2022,26.02.2024,Glory 580
Infiniti FX,52000,Infiniti,SUV/4x4,Essence,20,Automatique,Traction,190000,09.2008,26.02.2024,FX
Ford Focus sedan,24900,Ford,Berline,Essence,6,Manuelle,Traction,431000,09.2010,26.02.2024,Focus sedan
BMW X5,69500,BMW,SUV/4x4,Essence,19,Automatique,Traction,189000,10.2010,26.02.2024,X5
BMW Série 4 Gran Coupé,100000,BMW,Berline,Essence,7,Automatique,Traction,94000,10.2017,26.02.2024,Série 4 Gran Coupé
Dongfeng SX3,64500,Dongfeng,SUV/4x4,Essence,8,Manuelle,Traction,81000,07.2021,26.02.2024,SX3
Porsche Cayenne,72000,Porsche,SUV/4x4,Essence,21,Automatique,Traction,203000,09.2008,26.02.2024,Cayenne
Peugeot Landtrek Double Cabine,91500,Peugeot,Pick up,Diesel,6,Manuelle,Traction,26000,12.2022,26.02.2024,Landtrek Double Cabine
BMW Série 5,260000,BMW,Berline,Diesel,10,Automatique,Traction,33000,06.2022,26.02.2024,Série 5
Citroën Jumper,67000,Citroën,Pick up,Diesel,9,Manuelle,Traction,183000,09.2019,26.02.2024,Jumper
KIA Sorento,60000,KIA,SUV/4x4,Diesel,12,Automatique,Traction,210000,09.2012,26.02.2024,Sorento
KIA Sportage,79000,KIA,SUV/4x4,Essence,8,Automatique,Traction,176000,12.2016,26.02.2024,Sportage
Haval H6,78000,Haval,SUV/4x4,Essence,9,Automatique,Traction,130000,04.2019,26.02.2024,H6
Mitsubishi ASX,100000,Mitsubishi,Citadine,Essence,9,Automatique,Traction,61000,12.2020,26.02.2024,ASX
BMW Série 3,67900,BMW,Berline,Essence,7,Manuelle,Traction,166000,12.2015,26.02.2024,Série 3
BMW Série 4 Coupé,109500,BMW,Berline,Essence,7,Automatique,Traction,109000,05.2019,26.02.2024,Série 4 Coupé
Mini 3 portes,46500,Mini,Citadine,Essence,4,Manuelle,Traction,144000,11.2015,26.02.2024,3 portes
Seat Leon,54000,Seat,Citadine,Essence,6,Automatique,Traction,121000,06.2014,26.02.2024,Leon
Citroën C5,26500,Citroën,Berline,Essence,9,Manuelle,Traction,260000,02.2011,26.02.2024,C5
MG ZS,72000,MG,SUV/4x4,Essence,7,Automatique,Traction,79000,12.2020,26.02.2024,ZS
Nissan Micra,29900,Nissan,Citadine,Essence,5,Manuelle,Traction,37000,05.2014,26.02.2024,Micra
BMW Série 1,32900,BMW,Citadine,Essence,7,Manuelle,Traction,179000,12.2008,26.02.2024,Série 1
Opel Corsa,29000,Opel,Citadine,Essence,5,Manuelle,Traction,70000,12.2010,26.02.2024,Corsa
Volkswagen Golf 7,52000,Volkswagen,Citadine,Diesel,5,Manuelle,Traction,170000,04.2013,26.02.2024,Golf 7
Mercedes-Benz CLA,93000,Mercedes,Coupé,Essence,7,Automatique,Traction,102000,05.2016,26.02.2024,-Benz CLA
Nissan Qashqai,56000,Nissan,SUV/4x4,Essence,6,Manuelle,Traction,143000,10.2014,26.02.2024,Qashqai
KIA Rio 5p,61000,KIA,Citadine,Essence,5,Manuelle,Traction,30000,03.2021,26.02.2024,Rio 5p
KIA Rio 5p,67900,KIA,Citadine,Essence,5,Manuelle,Traction,33000,12.2021,26.02.2024,Rio 5p
KIA Sportage,115000,KIA,SUV/4x4,Diesel,10,Automatique,Traction,126000,01.2018,26.02.2024,Sportage
Haval H6,79000,Haval,SUV/4x4,Essence,9,Automatique,Traction,106000,09.2019,26.02.2024,H6
BMW Série 5,60000,BMW,Autres,Diesel,12,Automatique,Intégrale,193000,06.2008,26.02.2024,Série 5
Cupra Formentor,190000,Cupra,SUV/4x4,Essence,11,Automatique,Traction,0,11.2023,26.02.2024,Formentor
Volvo S60 R Design,46000,Volvo,Berline,Essence,9,Automatique,Automatique,170000,08.2012,26.02.2024,S60 R Design
Citroën C4,39000,Citroën,Citadine,Essence,6,Manuelle,Traction,126000,02.2018,26.02.2024,C4
KIA Rio 5p,67000,KIA,Citadine,Essence,5,Manuelle,Traction,68000,12.2021,26.02.2024,Rio 5p
Fiat 500 Version Canadienne 1.4,37500,Fiat,Coupé,Essence,6,Automatique,Traction,132000,06.2013,26.02.2024,500 Version Canadienne 1.4
BMW Série 1,62000,BMW,Citadine,Essence,5,Manuelle,Traction,158000,02.2017,26.02.2024,Série 1
Mahindra KUV 100 K8,33500,Mahindra,SUV/4x4,Essence,5,Manuelle,Traction,89000,02.2020,26.02.2024,KUV 100 K8
Fiat Fiorino,39500,Fiat,Monospace,Diesel,5,Manuelle,Traction,58000,10.2020,26.02.2024,Fiorino
Hyundai Grand i10 Sedan Premiere main,52000,Hyundai,Berline,Essence,5,Manuelle,Traction,28000,01.2023,26.02.2024,Grand i10 Sedan Premiere main
Honda Brio Premiere main,33500,Honda,Citadine,Essence,5,Manuelle,Traction,62000,10.2018,26.02.2024,Brio Premiere main
Volkswagen Polo TDI importée,58500,Volkswagen,Citadine,Diesel,5,Manuelle,Traction,112000,02.2020,26.02.2024,Polo TDI importée
Mercedes-Benz Classe E,64500,Mercedes,Berline,Diesel,9,Automatique,Traction,233000,08.2009,26.02.2024,-Benz Classe E
Jaguar XF,185000,Jaguar,Berline,Essence,16,Automatique,Traction,38000,09.2018,26.02.2024,XF
BMW Série 4 Gran Coupé,139500,BMW,Berline,Essence,7,Automatique,Traction,46000,01.2021,26.02.2024,Série 4 Gran Coupé
Citroën DS4,39500,Citroën,Citadine,Essence,9,Automatique,Traction,139000,10.2013,26.02.2024,DS4
BMW Série 3,74000,BMW,Berline,Essence,7,Automatique,Traction,201000,12.2014,26.02.2024,Série 3
Citroën C4,32000,Citroën,Citadine,Essence,6,Manuelle,Traction,194000,07.2012,26.02.2024,C4
KIA Sportage,53900,KIA,SUV/4x4,Essence,11,Automatique,Traction,175000,06.2014,26.02.2024,Sportage
Mazda CX-9,135000,Mazda,SUV/4x4,Essence,15,Automatique,Traction,63000,12.2017,26.02.2024,CX-9
Chery Tiggo 3,55000,Chery,SUV/4x4,Essence,8,Manuelle,Traction,60000,09.2019,26.02.2024,Tiggo 3
Mercedes-Benz Classe E,45900,Mercedes,Berline,Essence,10,Automatique,Traction,218000,10.2006,26.02.2024,-Benz Classe E
Mercedes-Benz Classe C,32000,Mercedes,Berline,Essence,10,Automatique,Traction,305000,10.2005,26.02.2024,-Benz Classe C
MG ZS,76900,MG,SUV/4x4,Essence,7,Automatique,Traction,28000,02.2021,26.02.2024,ZS
Audi Q3 Sportback,188000,Audi,SUV/4x4,Essence,8,Automatique,Traction,10000,06.2021,26.02.2024,Q3 Sportback
Audi A5 Sportback,55000,Audi,Citadine,Essence,13,Automatique,Traction,185000,07.2010,26.02.2024,A5 Sportback
Mercedes-Benz Classe C Pack AMG,115000,Mercedes,Berline,Essence,9,Automatique,Traction,170000,08.2014,26.02.2024,-Benz Classe C Pack AMG
BMW Série 5 kit LUXURY,190000,BMW,Berline,Essence,10,Automatique,Propulsion,75000,04.2019,26.02.2024,Série 5 kit LUXURY
BMW Série 5 kit M,285000,BMW,Berline,Essence,10,Automatique,Propulsion,1000,11.2022,26.02.2024,Série 5 kit M
Mercedes-Benz Classe A A200 AMG TOIT OUVRANT,149000,Mercedes,Compacte,Essence,8,Automatique,Traction,29000,07.2020,26.02.2024,-Benz Classe A A200 AMG TOIT OUVRANT
Audi TT SLINE QUATTRO S-TRPNIC,120000,Audi,Coupé,Essence,13,Automatique,Intégrale,36000,02.2017,26.02.2024,TT SLINE QUATTRO S-TRPNIC
KIA Sorento,48000,KIA,Citadine,Diesel,12,Automatique,Traction,316000,11.2013,26.02.2024,Sorento
MG GS,58000,MG,Citadine,Essence,9,Automatique,Traction,160000,03.2017,26.02.2024,GS
Citroën Jumper,39900,Citroën,Utilitaire,Diesel,7,Manuelle,Traction,119000,04.2018,26.02.2024,Jumper
Porsche Cayenne,180000,Porsche,Citadine,Essence,30,Automatique,Traction,229000,03.2012,26.02.2024,Cayenne
KIA Sorento 4x4 Toit Panoramique,74900,KIA,SUV/4x4,Diesel,12,Automatique,Intégrale,163000,10.2014,26.02.2024,Sorento 4x4 Toit Panoramique
Mitsubishi Pajero,44000,Mitsubishi,SUV/4x4,Diesel,12,Automatique,Traction,316000,04.2001,26.02.2024,Pajero
Ssangyong Kyron,38000,Ssangyong,SUV/4x4,Diesel,9,Manuelle,Traction,232000,04.2012,26.02.2024,Kyron
BMW Série 5,225000,BMW,Berline,Essence,10,Automatique,Traction,30000,07.2019,26.02.2024,Série 5
Mazda 3,58500,Mazda,Citadine,Essence,6,Manuelle,Traction,135000,04.2017,26.02.2024,3
BMW Série 3,56500,BMW,Berline,Essence,7,Automatique,Propulsion,231000,12.2012,26.02.2024,Série 3
Mahindra Scorpio SUV,34000,Mahindra,Citadine,Diesel,8,Manuelle,Traction,258000,12.2013,26.02.2024,Scorpio SUV
DFSK K01,18900,DFSK,Utilitaire,Essence,6,Manuelle,Traction,69000,11.2018,26.02.2024,K01
Volkswagen Golf 7,81000,Volkswagen,Citadine,Essence,6,Manuelle,Traction,87000,06.2019,26.02.2024,Golf 7
Audi A1,33000,Audi,Citadine,Essence,5,Manuelle,Traction,200000,06.2012,26.02.2024,A1
Audi A3 Berline,70000,Audi,Berline,Essence,6,Automatique,Traction,200000,11.2015,26.02.2024,A3 Berline
Volkswagen Passat,66900,Volkswagen,Berline,Essence,7,Manuelle,Traction,124000,02.2016,26.02.2024,Passat
Porsche Cayenne,69000,Porsche,Citadine,Essence,21,Automatique,Traction,191000,12.2007,26.02.2024,Cayenne
Mahindra KUV 100,34000,Mahindra,Citadine,Essence,5,Manuelle,Traction,76000,06.2020,26.02.2024,KUV 100
MG ZS,80000,MG,Citadine,Essence,7,Automatique,Traction,30000,07.2022,26.02.2024,ZS
Ford Focus sedan,26500,Ford,Berline,Essence,6,Manuelle,Traction,198000,05.2012,26.02.2024,Focus sedan
Volkswagen Golf 7,49500,Volkswagen,Citadine,Essence,5,Manuelle,Traction,201000,07.2015,26.02.2024,Golf 7
Nissan Qashqai,69500,Nissan,Citadine,Essence,6,Automatique,Traction,121000,01.2015,26.02.2024,Qashqai
BMW Série 5 G30,205000,BMW,Berline,Essence,10,Automatique,Traction,65000,12.2020,26.02.2024,Série 5 G30
Mazda 3,82500,Mazda,Coupé,Essence,7,Automatique,Traction,64000,07.2020,26.02.2024,3
Seat Ibiza 4 cv,46500,Seat,Berline,Essence,4,Manuelle,Propulsion,55000,11.2019,24.02.2024,Ibiza 4 cv
BMW Série 4 Coupé M power,95000,BMW,Coupé,Essence,10,Automatique,Automatique,125000,02.2015,24.02.2024,Série 4 Coupé M power
Audi A4 Bonne,35500,Audi,Berline,Diesel,7,Manuelle,Traction,224000,07.2007,24.02.2024,A4 Bonne
Renault Clio ZEN,49500,Renault,Citadine,Essence,5,Manuelle,Traction,83000,02.2019,25.02.2024,Clio ZEN
KIA Sportage gt line,84000,KIA,SUV/4x4,Diesel,10,Automatique,Automatique,276000,11.2018,25.02.2024,Sportage gt line
Seat Ibiza,38000,Seat,Citadine,Essence,4,Manuelle,Traction,160000,05.2018,25.02.2024,Ibiza
BMW X3,49000,BMW,SUV/4x4,Diesel,10,Automatique,Intégrale,214995,10.2012,25.02.2024,X3
KIA Picanto,38500,KIA,Citadine,Essence,4,Manuelle,Manuelle,65000,03.2022,25.02.2024,Picanto
Volkswagen Tiguan R line,128000,Volkswagen,SUV/4x4,Essence,8,Automatique,Automatique,160000,11.2018,26.02.2024,Tiguan R line
BMW Série 4 Gran Coupé Kit m avec Toit ouvrant,98000,BMW,Berline,Essence,7,Automatique,Propulsion,122000,08.2017,26.02.2024,Série 4 Gran Coupé Kit m avec Toit ouvrant
Audi Q5 quattro tdi,265000,Audi,SUV/4x4,Diesel,9,Automatique,Intégrale,39000,09.2021,26.02.2024,Q5 quattro tdi
Hyundai Tucson,110000,Hyundai,SUV/4x4,Essence,8,Automatique,Traction,11000,02.2021,24.02.2024,Tucson
Porsche Macan S,225000,Porsche,SUV/4x4,Essence,23,Automatique,Traction,121000,01.2015,24.02.2024,Macan S
BMW Série 4 Coupé Kit M,109000,BMW,Coupé,Essence,10,Automatique,Automatique,155000,01.2015,24.02.2024,Série 4 Coupé Kit M
Peugeot 2008 Allure,47000,Peugeot,SUV/4x4,Essence,5,Manuelle,Manuelle,137600,10.2016,24.02.2024,2008 Allure
Volkswagen Golf 7,98000,Volkswagen,Compacte,Essence,8,Manuelle,Traction,88000,11.2018,24.02.2024,Golf 7
Porsche Cayenne,180000,Porsche,SUV/4x4,Essence,21,Automatique,Intégrale,122000,07.2014,24.02.2024,Cayenne
Mercedes-Benz Classe C kit AMG,115000,Mercedes,Berline,Diesel,9,Automatique,Propulsion,150000,04.2014,24.02.2024,-Benz Classe C kit AMG
Seat Ibiza,52000,Seat,Citadine,Essence,4,Manuelle,Traction,110000,03.2020,25.02.2024,Ibiza
Peugeot 308,45500,Peugeot,Citadine,Essence,6,Manuelle,Traction,98000,10.2019,25.02.2024,308
Renault Clio,42000,Renault,Citadine,Essence,5,Manuelle,Traction,80000,03.2020,25.02.2024,Clio
Ssangyong Tivoli,55000,Ssangyong,Berline,Essence,7,Manuelle,Manuelle,100000,03.2019,25.02.2024,Tivoli
BMW X1,39000,BMW,SUV/4x4,Diesel,12,Automatique,Intégrale,152000,06.2011,25.02.2024,X1
Toyota Prado GX,109000,Toyota,SUV/4x4,Diesel,11,Manuelle,Intégrale,335000,12.2006,25.02.2024,Prado GX
